https://data.rkd.nl/artists/101500,"De Neste, Alfred<|>Neste, Alfred van<|>Van Neste, Alfred<|>Van Neste, Alfred Joseph Auguste",1874-03-04,1969-03-14,Brugge,Sint-Genesius-Rode,academy lecturer<|>designer<|>graphic artist<|>illustrator<|>painter
https://data.rkd.nl/artists/77995,"Touchagues, Louis",1893-04-28,1974-07-20,Saint-Cyr-au-Mont-d'Or,Paris (city),cartoonist<|>designer<|>etcher<|>graphic artist<|>illustrator<|>painter<|>set painter<|>watercolorist
https://data.rkd.nl/artists/23581,"Dolz Mateo, Dora<|>Dolz de Herman, Dora<|>Dolz, Adoración<|>Dolz, Dora<|>Herman, Dora Dolz de",1941-11-05,2008-03-01,Barcelona (city),Rotterdam (city),academy lecturer<|>ceramicist<|>designer<|>draftsperson<|>glass artist<|>glass designer<|>lithographer<|>monumental artist<|>painter<|>sculptor<|>textile artist
https://data.rkd.nl/artists/206534,"Grit, Arend",1921-05-12,2002-02-04,Groningen (city),Haren (Groningen),architect<|>draftsperson<|>graphic artist<|>painter<|>sculptor
https://data.rkd.nl/artists/501357,"Agnessens, Jean André<|>Anneessens, Jan Andries<|>Anneessens, Jean André",1687/1687-12-03,1754,Brussels,Aachen,architect<|>sculptor<|>stonemason
https://data.rkd.nl/artists/368005,"Gresnigt, Adelbert<|>Gresnigt, Charles Louis<|>Gresnigt, Dom. Adelbert",1877-11-04,1965-10-29,Utrecht (city),Maredsous,architect<|>mosaicist<|>painter<|>sculptor
https://data.rkd.nl/artists/488597,"Ditzel, Nanna<|>Hauberg, Nanna",1923-10-06,2005-06-17,Copenhagen,Copenhagen,designer
https://data.rkd.nl/artists/100074,"Stiévenart, Clément",1851,1924,Mons (Belgium),Mons (Belgium),conservator (restorer)<|>designer<|>painter
https://data.rkd.nl/artists/254437,"Block, Jacob Reyersz.<|>Block, Jacobus Rengers<|>Blok, H.<|>Blok, Jacob Reiniersz.<|>Blok, Jacob Rengers<|>Blok, Jakob Rogerius<|>Blok, Jakop Reugers<|>Rengers von Gouda, Jacob",1598/1599,1647,Gouda (place),Duinkerken,architect<|>cartographer<|>court artist<|>court painter<|>draftsperson<|>fortress engineer<|>painter<|>surveyor<|>teacher
https://data.rkd.nl/artists/15,"Aafjes, Sijtje<|>Aafjes, Sijtje Antje Agatha Johanna",1893-08-22,1972-04-16,Amsterdam (city),Rotterdam (city),designer<|>illustrator<|>painter<|>pastelist<|>pen draftsperson<|>teacher<|>wall painter<|>watercolorist
https://data.rkd.nl/artists/335629,"Lempke, Catharina Margaretha of Marthina<|>Lempke, Eta<|>Lempke, Etha",1909-04-10,1991-02-09,Amsterdam (city),Amsterdam (city),ceramicist<|>decorative artist<|>designer
https://data.rkd.nl/artists/17343,"Cluysenaar, Jean Pierre<|>Cluysenaer, Jean Pierre",1811-03-28,1880-02-16,"Kampen (place, Overijssel)",Brussels,architect
https://data.rkd.nl/artists/70276,"Scheiner, Jakob",1821,1911,Siegen,Potsdam (city),architect<|>painter<|>photographer
https://data.rkd.nl/artists/463778,"Andersson, Erik Johan<|>Jerken, Erik",1898-06-17,1947-10-27,Stockholm (city),Stockholm (city),cinematographer<|>designer<|>draftsperson<|>graphic artist<|>painter
https://data.rkd.nl/artists/277905,"Metzelaar, Willem Cornelis",1848-08-09,1918-08-18,Rotterdam (city),The Hague (city),architect
https://data.rkd.nl/artists/21473,"Deiters, Heinrich",1840-09-05,1916-07-29,"Münster (city, Germany)",Düsseldorf (city),architect<|>art theorist<|>illustrator<|>painter
https://data.rkd.nl/artists/75658,"Strathmann, Carl",1866-09-11,1939,Düsseldorf (city),Munich,designer<|>painter
https://data.rkd.nl/artists/84247,"Wiertz, Pauline",1955-05-16,2019-04-26,Amsterdam (city),Amsterdam (city),ceramicist<|>designer<|>installation artist<|>jewelry designer<|>sculptor
https://data.rkd.nl/artists/14688,"Caffà, Melchior<|>Caffà, Melchiorre<|>Cafà, Melchior<|>Cafà, Melchiorre<|>Gafar, Melchior<|>Gafar, Melchiorre<|>Gafà, Melchior<|>Gafà, Melchiorre",1630/1635,1667-09-03/1667-09-10,Birgu,Rome,architect<|>draftsperson<|>sculptor
https://data.rkd.nl/artists/2915,"Audran, Claude (1658-1734)<|>Audran, Claude (III)",1658-08-25,1734-05-27,Lyon,Paris (city),designer<|>draftsperson<|>painter<|>tapestry designer
https://data.rkd.nl/artists/342200,"Birstinger, Leopold",1903-10-30,1983-08-15,Vienna (city),Vienna (city),designer<|>graphic artist<|>mosaicist<|>painter<|>pastelist<|>wall painter<|>watercolorist
https://data.rkd.nl/artists/483039,"Beauclair, Gotthard de",1907-07-24,1992-03-31,Ascona,Breisgau (region),book printer<|>designer<|>publisher<|>typographer
https://data.rkd.nl/artists/67110,"Rinsema, Thijs<|>Rinsema, Thye",1877-06-18,1947-03-01,Drachten,Smallingerland (municipality),collagist<|>draftsperson<|>furniture designer<|>manufacturer of gouaches<|>painter<|>pen draftsperson
https://data.rkd.nl/artists/388612,"Ebert, Wils",1909-04-17,1979-06-24,Germany,"Berlin (city, Germany)",architect<|>designer
